name,description,purpose
unknown,,any
none,,any
conventional,,land_prep
deep ploughing,,land_prep
reduced tillage,,land_prep
ridge tillage,,land_prep
strip tillage,,land_prep
basins,,land_prep
ripping,,land_prep
ploughing,,land_prep
raised beds,,land_prep
conventional tilled beds,,land_prep
permanent beds,,land_prep
wide permanent beds,,land_prep
surface ,,irrigation
basin ,,irrigation
border ,,irrigation
continuous flooding,,irrigation
furrow ,,irrigation
uncontrolled flooding,,irrigation
bubbler ,,irrigation
drip ,,irrigation
pitcher ,,irrigation
subsurface drip ,,irrigation
subsurface textile ,,irrigation
sprinkler ,,irrigation
center pivot sprinkler ,,irrigation
sprinkler by lateral move,,irrigation
sprinkler by side roll,,irrigation
puddling,,puddling
broadcasting,,seeding
line sowing,,seeding
dibbling,,seeding
mechanized,,seeding
manual,,seeding
monocrop,,intercropping
mixed,,intercropping
relay,,intercropping
row,,intercropping
strip,,intercropping
within-row ,,intercropping
